id,mapping,mapping_period_ns,mapping_clock_source,operating_period_ns,clock_source,folder_period_ns,frequency_mhz,saif_status,saif_user_min_pct,saif_default_max_pct,saif_propagated_max_pct,internal_mw,switching_mw,dynamic_mw,leakage_mw,total_mw,energy_per_cycle_pj,cell_area,combinational_area,sequential_area,buf_inv_area,cells,combinational_cells,sequential_cells,buf_inv_cells,black_boxes,setup_slack_ns,setup_status,hold_slack_ns,hold_status,worst_path_arrival_ns,worst_path_required_ns,library_setup_adjustment_ns,startpoint,endpoint,path_group,clk_setup_tns_ns,clk_violating_paths,clk_logic_levels,notes,report_dir
12,clock_gated_w8_sweep_1.0ns,1.0,dlx.sdc,1.859,dlx.sdc,1.859,537.9236148466917,OK,100.0,0.0,0.0,4.75,3.0100000000000002,7.76,0.507,8.267,15.368352999999999,25095.237606,12935.846026,12159.39158,784.168003,14252.0,11460.0,2715.0,1329.0,0.0,0.0,MET,0.05,MET,1.6,1.6,-0.05,id_stage_inst/rs2_addr_reg/reg_data_reg[3],if_stage_inst/pc_reg_inst/clk_gate_reg_data_reg/latch,clk,0.0,0.0,30.0,,results\clock_gated_w8_sweep_1.0ns\analysis_1.859ns
13,clock_gated_w1_sweep_0.9ns,0.9,dlx.sdc,1.869,dlx.sdc,1.869,535.0454788657036,OK,100.0,0.0,0.0,4.53,2.84,7.37,0.494,7.864,14.697816,24867.8076,12707.618011,12160.18959,717.136004,14012.0,11159.0,2733.0,1223.0,0.0,0.0,MET,0.05,MET,1.71,1.71,-0.05,id_stage_inst/rs2_addr_reg/reg_data_reg[3],if_stage_inst/pc_reg_inst/clk_gate_reg_data_reg/latch,clk,0.0,0.0,31.0,,results\clock_gated_w1_sweep_0.9ns\analysis_1.869ns
14,clock_gated_w1_sweep_1.6ns,1.6,dlx.sdc,1.88,dlx.sdc,1.88,531.9148936170213,OK,100.0,0.0,0.0,4.44,2.82,7.26,0.478,7.7379999999999995,14.547439999999998,24175.409642,12001.122053,12174.287589,663.138002,13429.0,10565.0,2737.0,1115.0,0.0,0.0,MET,0.05,MET,1.71,1.71,-0.05,mem_stage_inst/rd_addr_reg/reg_data_reg[1],if_stage_inst/pc_reg_inst/clk_gate_reg_data_reg/latch,clk,0.0,0.0,33.0,,results\clock_gated_w1_sweep_1.6ns\analysis_1.880ns
15,baseline_sweep_1.8ns,1.8,dlx.sdc,1.89,dlx.sdc,1.89,529.1005291005291,OK,100.0,0.0,0.0,10.6,2.49,13.09,0.583,13.673,25.84197,28964.739614,15672.188093,13292.551521,1054.158005,16944.0,13985.0,2956.0,1866.0,0.0,0.09,MET,0.06,MET,1.77,1.86,-0.03,R_1439,R_2277,clk,0.0,0.0,32.0,,results\baseline_sweep_1.8ns\analysis_1.890ns
16,clock_gated_w32_sweep_1.4ns,1.4,dlx.sdc,1.89,dlx.sdc,1.89,529.1005291005291,OK,100.0,0.0,0.0,4.63,2.89,7.52,0.485,8.004999999999999,15.129449999999997,24287.66164,12242.118052,12045.543588,726.978003,13463.0,10696.0,2685.0,1242.0,0.0,0.0,MET,0.05,MET,1.65,1.65,-0.05,ex_stage_inst/rd_addr_reg/reg_data_reg[0],if_stage_inst/pc_reg_inst/clk_gate_reg_data_reg/latch,clk,0.0,0.0,35.0,,results\clock_gated_w32_sweep_1.4ns\analysis_1.890ns
17,clock_gated_w32_sweep_1.8ns,1.8,dlx.sdc,1.89,dlx.sdc,1.89,529.1005291005291,OK,100.0,0.0,0.0,4.5600000000000005,2.87,7.430000000000001,0.471,7.901000000000001,14.93289,23850.889647,11839.660066,12011.229581,693.462003,13125.0,10379.0,2689.0,1183.0,0.0,0.0,MET,0.05,MET,1.62,1.62,-0.05,R_0,if_stage_inst/pc_reg_inst/clk_gate_reg_data_reg/latch,clk,0.0,0.0,30.0,,results\clock_gated_w32_sweep_1.8ns\analysis_1.890ns
18,clock_gated_w16_sweep_0.9ns,0.9,dlx.sdc,1.901,dlx.sdc,1.901,526.0389268805892,OK,100.0,0.0,0.0,4.63,2.9,7.529999999999999,0.504,8.033999999999999,15.272633999999998,25273.191563,13255.84398,12017.347582,769.538003,14741.0,11982.0,2687.0,1316.0,0.0,0.0,MET,0.05,MET,1.66,1.66,-0.05,if_stage_inst/instruction_reg/reg_data_reg[31],if_stage_inst/pc_reg_inst/clk_gate_reg_data_reg/latch,clk,0.0,0.0,33.0,,results\clock_gated_w16_sweep_0.9ns\analysis_1.901ns
19,clock_gated_w16_sweep_1.2ns,1.2,dlx.sdc,1.901,dlx.sdc,1.901,526.0389268805892,OK,100.0,0.0,0.0,4.59,2.85,7.4399999999999995,0.481,7.920999999999999,15.057820999999999,24208.393638,12164.978052,12043.415586,694.526003,13197.0,10438.0,2687.0,1168.0,0.0,0.0,MET,0.05,MET,1.7,1.7,-0.05,mem_stage_inst/rd_addr_reg/reg_data_reg[1],if_stage_inst/pc_reg_inst/clk_gate_reg_data_reg/latch,clk,0.0,0.0,34.0,,results\clock_gated_w16_sweep_1.2ns\analysis_1.901ns
20,clock_gated_w32_sweep_0.9ns,0.9,dlx.sdc,1.901,dlx.sdc,1.901,526.0389268805892,OK,100.0,0.0,0.0,4.63,2.89,7.52,0.529,8.049,15.301148999999999,25801.999546,13747.943953,12054.055593,752.780004,15501.0,12696.0,2683.0,1285.0,0.0,0.0,MET,0.05,MET,1.69,1.69,-0.05,id_stage_inst/rs2_addr_reg/reg_data_reg[0],if_stage_inst/pc_reg_inst/clk_gate_reg_data_reg/latch,clk,0.0,0.0,35.0,,results\clock_gated_w32_sweep_0.9ns\analysis_1.901ns
21,clock_gated_w32_sweep_1.0ns,1.0,dlx.sdc,1.901,dlx.sdc,1.901,526.0389268805892,OK,100.0,0.0,0.0,4.59,2.87,7.46,0.501,7.961,15.133861000000001,25047.623569,13038.787986,12008.835583,787.360004,14573.0,11823.0,2685.0,1320.0,0.0,0.0,MET,0.05,MET,1.67,1.67,-0.05,id_stage_inst/rs2_addr_reg/reg_data_reg[1],if_stage_inst/pc_reg_inst/clk_gate_reg_data_reg/latch,clk,0.0,0.0,32.0,,results\clock_gated_w32_sweep_1.0ns\analysis_1.901ns
22,clock_gated_w16_sweep_1.5ns,1.5,dlx.sdc,1.911,dlx.sdc,1.911,523.2862375719518,OK,100.0,0.0,0.0,4.53,2.86,7.390000000000001,0.483,7.873,15.045303,24117.155645,12029.318054,12087.837591,716.604001,13312.0,10514.0,2686.0,1169.0,0.0,0.0,MET,0.05,MET,1.66,1.66,-0.05,R_11,if_stage_inst/pc_reg_inst/clk_gate_reg_data_reg/latch,clk,0.0,0.0,31.0,,results\clock_gated_w16_sweep_1.5ns\analysis_1.911ns
23,clock_gated_w1_sweep_1.4ns,1.4,dlx.sdc,1.911,dlx.sdc,1.911,523.2862375719518,OK,100.0,0.0,0.0,4.36,2.7600000000000002,7.120000000000001,0.478,7.598000000000001,14.519778000000002,24131.253646,11961.754056,12169.49959,654.892002,13415.0,10555.0,2734.0,1105.0,0.0,0.0,MET,0.05,MET,1.74,1.74,-0.05,id_stage_inst/rs2_addr_reg/reg_data_reg[0],if_stage_inst/pc_reg_inst/clk_gate_reg_data_reg/latch,clk,0.0,0.0,36.0,,results\clock_gated_w1_sweep_1.4ns\analysis_1.911ns
24,clock_gated_w1_sweep_1.8ns,1.8,dlx.sdc,1.911,dlx.sdc,1.911,523.2862375719518,OK,100.0,0.0,0.0,4.38,2.79,7.17,0.476,7.646,14.611506,24146.149643,11987.024054,12159.125589,657.552002,13345.0,10497.0,2734.0,1100.0,0.0,0.0,MET,0.05,MET,1.7,1.7,-0.05,ex_stage_inst/rd_addr_reg/reg_data_reg[4],if_stage_inst/pc_reg_inst/clk_gate_reg_data_reg/latch,clk,0.0,0.0,36.0,,results\clock_gated_w1_sweep_1.8ns\analysis_1.911ns
25,clock_gated_w8_sweep_1.2ns,1.2,dlx.sdc,1.911,dlx.sdc,1.911,523.2862375719518,OK,100.0,0.0,0.0,4.51,2.86,7.369999999999999,0.487,7.856999999999999,15.014726999999999,24513.495626,12474.07004,12039.425586,709.688003,13665.0,10902.0,2687.0,1213.0,0.0,0.0,MET,0.05,MET,1.66,1.66,-0.05,id_stage_inst/rs2_addr_reg/reg_data_reg[2],if_stage_inst/pc_reg_inst/clk_gate_reg_data_reg/latch,clk,0.0,0.0,34.0,,results\clock_gated_w8_sweep_1.2ns\analysis_1.911ns
